wyear,wymon,calyear,calmon,stor,rch,run,aet,cwd,tmax,tmin,ppt,pet,exc
1986,4,1986,1,113.95999908,4.6999998093,0.1299999952,61.11000061,0.9800000191,17.270000458,4.7399997711,71.580001831,62.009998322,\N
1986,5,1986,2,155.02999878,45.200000763,51.819999695,68.260002136,0,15.920000076,5.3800001144,204.41000366,68.239997864,\N
1986,6,1986,3,161.32000732,40.009998322,4.5900001526,104.65000153,0,24.149999619,5.5700001717,154.91999817,104.59999847,\N
1986,7,1986,4,100.69000244,0,0,80.849998474,46.790000916,22.989999771,7.9899997711,20.030000687,127.66000366,\N
1986,8,1986,5,92.949996948,0,0,7.8200001717,141.1000061,22.549999237,8.529999733,0.0700000003,148.8999939,\N
1986,9,1986,6,92.940002441,0,0,0,161.02000427,20.030000687,11.069999695,0,161.02999878,\N
1986,10,1986,7,92.940002441,0,0,0.1000000015,170.36000061,16.309999466,11.920000076,0.1000000015,170.57000732,\N
1986,11,1986,8,92.940002441,0,0,0.2399999946,159.88000488,22.489999771,13.130000114,0.2399999946,160.02000427,\N
1986,12,1986,9,92.940002441,0,0,31.159999847,86.5,22.159999847,10.770000458,30.88999939,117.69999695,\N
1987,1,1986,10,92.940002441,0,0,1.6699999571,98.099998474,25.030000687,10.659999847,1.6200000048,99.709999084,\N
1987,2,1986,11,92.940002441,0,0,26.010000229,45.209999084,20.670000076,8.5500001907,25.920000076,71.150001526,\N
1987,3,1986,12,92.940002441,0,0,20.479999542,32.819999695,18.5,5.6500000954,20.440000534,53.430000305,\N
1987,4,1987,1,96.309997559,0.0299999993,0,47.099998474,3.6500000954,17.430000305,8.029999733,51.419998169,51.990001678,\N
1987,5,1987,2,96.199996948,0.1400000006,0,56.029998779,9.0200004578,19.870000839,8.029999733,56.040000916,65.309997559,\N
1987,6,1987,3,99.970001221,1.4199999571,0,91.819999695,4.9899997711,23.13999939,8.720000267,97.040000916,97.230003357,\N
1987,7,1987,4,92.940002441,0,0,10.930000305,124.05999756,23.510000229,8.6999998093,3.9000000954,134.91000366,\N
1987,8,1987,5,92.940002441,0,0,0.6299999952,159.25999451,22.329999924,10.989999771,0.6299999952,159.91000366,\N
1987,9,1987,6,92.940002441,0,0,2.2200000286,158.52999878,21.989999771,11.199999809,2.2000000477,160.74000549,\N
1987,10,1987,7,92.940002441,0,0,0.5299999714,164.61000061,18.569999695,11.289999962,0.5199999809,165.27999878,\N
1987,11,1987,8,92.940002441,0,0,0.0099999998,157.36000061,19.379999161,12.520000458,0.0199999996,157.36999512,\N
1987,12,1987,9,92.940002441,0,0,0.8500000238,126.20999908,24.629999161,12.220000267,0.8399999738,127,\N
1988,1,1987,10,92.940002441,0,0,52.150001526,54.630001068,24.680000305,13.840000153,52.009998322,106.70999908,\N
1988,2,1987,11,93,0,0,32.590000153,33.560001373,21.709999084,8.1300001144,32.419998169,66.160003662,\N
1988,3,1987,12,135.55999756,17.940000534,2.1300001144,46.819999695,0,14.680000305,4.6999998093,109.58000183,47.459999084,\N
1988,4,1988,1,139.86000061,17.899999619,4.2600002289,54.590000153,0,17.63999939,3.8900001049,80.36000061,54.799999237,\N
1988,5,1988,2,137.5,12.800000191,0.8899999857,69.279998779,0,16.319999695,5.9099998474,79.940002441,69.330001831,\N
1988,6,1988,3,94.510002136,0,0,66.029998779,41.709999084,24.719999313,6.1799998283,22.489999771,107.79000092,\N
1988,7,1988,4,96.839996338,0.9599999785,0.0099999998,96.209999084,33.13999939,22.13999939,8.3000001907,98.38999939,129.3500061,\N
1988,8,1988,5,92.940002441,0,0,6.4099998474,145.46000671,21.549999237,8.6599998474,2.5,151.88999939,\N
1988,9,1988,6,92.940002441,0,0,4,150.61000061,20.340000153,10.069999695,3.9700000286,154.63000488,\N
1988,10,1988,7,92.940002441,0,0,0.1099999994,177.42999268,17.879999161,13.569999695,0.1099999994,177.61999512,\N
1988,11,1988,8,92.940002441,0,0,0.0199999996,160.52999878,19.420000076,13.399999619,0.0199999996,160.52999878,\N
1988,12,1988,9,92.940002441,0,0,1.0599999428,122.94999695,23.979999542,11.569999695,1.0499999523,123.94000244,\N
1989,1,1988,10,92.940002441,0,0,0.9100000262,99.529998779,24.899999619,11.829999924,0.8899999857,100.33999634,\N
1989,2,1988,11,92.949996948,0,0,29.909999847,35.810001373,21.469999313,7.75,29.709999084,65.699996948,\N
1989,3,1988,12,139.58000183,21.270000458,3.4600000381,51.009998322,0,16.850000381,5.5,122.05000305,51.200000763,\N
1989,4,1989,1,108.33000183,0.0199999996,0,47.180000305,3.7799999714,20.239999771,5.2899999619,16.370000839,52.459999084,\N
1989,5,1989,2,114.66999817,6.1500000954,0.8600000143,58.310001373,1.2400000095,17.030000687,5.9400000572,71.419998169,60.319999695,\N
1989,6,1989,3,93.279998779,0,0,47.069999695,57.950000763,25.020000458,7.3899998665,25.440000534,105.02999878,\N
1989,7,1989,4,92.940002441,0,0,6.6199998856,133.92999268,22.88999939,10.149999619,6.1999998093,140.5,\N
1989,8,1989,5,92.940002441,0,0,8.1899995804,143.80999756,22.930000305,9.1400003433,8.1099996567,152.05000305,\N
1989,9,1989,6,92.940002441,0,0,0.1700000018,161.77999878,22.649999619,10.989999771,0.1700000018,161.99000549,\N
1989,10,1989,7,92.940002441,0,0,0,174.58999634,21.36000061,12.340000153,0,174.61000061,\N
1989,11,1989,8,92.940002441,0,0,0,155.22999573,23.020000458,12.479999542,0,155.22999573,\N
1989,12,1989,9,92.940002441,0,0,13.720000267,110.66999817,24.209999084,11.510000229,13.649999619,124.33000183,\N
1990,1,1989,10,92.940002441,0,0,16.86000061,82.410003662,23.979999542,10.520000458,16.700000763,99.220001221,\N
1990,2,1989,11,92.940002441,0,0,12.520000458,58.680000305,21.040000916,7.9899997711,12.380000114,71.120002747,\N
1990,3,1989,12,92.940002441,0,0,0.2599999905,55.159999847,20.75,5.0799999237,0.2700000107,55.459999084,\N
1990,4,1990,1,120.34999847,11.649999619,3.8599998951,54.759998322,0,15.569999695,3.5999999046,96.980003357,55.029998779,\N
1990,5,1990,2,118.26000214,6.7399997711,0.0599999987,60.080001831,0.4199999869,16.959999084,4.8000001907,64.88999939,61.119998932,\N
1990,6,1990,3,93.099998474,0,0,32.909999847,67.129997253,25.780000687,7.8800001144,7.6700000763,100.02999878,\N
1990,7,1990,4,92.940002441,0,0,8.4399995804,125.55999756,24.690000534,9.6300001144,8.1700000763,133.94999695,\N
1990,8,1990,5,92.940002441,0,0,19.549999237,132.47000122,24.059999466,9.220000267,19.5,152.05999756,\N
1990,9,1990,6,92.940002441,0,0,0.3100000024,165.47999573,20.709999084,11.079999924,0.3000000119,165.75999451,\N
1990,10,1990,7,92.940002441,0,0,0,180.38000488,19.61000061,13.420000076,0,180.41999817,\N
1990,11,1990,8,92.940002441,0,0,0.3000000119,164.36000061,21.870000839,13.989999771,0.3000000119,164.67999268,\N
1990,12,1990,9,92.940002441,0,0,6.6599998474,123.34999847,25.569999695,12.569999695,6.5799999237,130,\N
1991,1,1990,10,92.940002441,0,0,0.2300000042,103.30999756,25.75,10.909999847,0.2199999988,103.44999695,\N
1991,2,1990,11,92.940002441,0,0,8.029999733,60.459999084,20.969999313,7.2399997711,7.9800000191,68.459999084,\N
1991,3,1990,12,92.940002441,0,0,8.3299999237,37.189998627,17.020000458,2.8900001049,8.8999996185,48.13999939,\N
1991,4,1991,1,92.940002441,0,0,37.340000153,18.670000076,16.120000839,4.7100000381,37.299999237,56.130001068,\N
1991,5,1991,2,106.09999847,1.25,0.0099999998,69.980003357,1.1900000572,17.780000687,4.75,83.650001526,71.099998474,\N
1991,6,1991,3,164.52999878,70.400001526,181.91000366,89.180000305,0,22.579999924,7.0599999428,396.1499939,89.769996643,\N
1991,7,1991,4,101.12000275,0,0,66.480003357,58.659999847,23.420000076,7.4400000572,3.0499999523,125.16999817,\N
1991,8,1991,5,93,0,0,8.6599998474,134.52999878,20.569999695,7.7800002098,0.5199999809,143.24000549,\N
1991,9,1991,6,92.940002441,0,0,7.7600002289,142.77999878,19.670000076,9.7899999619,7.5999999046,150.57000732,\N
1991,10,1991,7,92.940002441,0,0,0.5,167.88000488,18.190000534,12.840000153,0.4900000095,168.49000549,\N
1991,11,1991,8,92.940002441,0,0,1.6499999762,157.97000122,22.36000061,13.409999847,1.6599999666,159.63000488,\N
1991,12,1991,9,92.940002441,0,0,0.5199999809,126.73000336,23.870000839,13.069999695,0.5199999809,127.19000244,\N
1992,1,1991,10,92.940002441,0,0,10.760000229,91.599998474,24.569999695,11.529999733,10.720000267,102.23000336,\N
1992,2,1991,11,92.940002441,0,0,4.9600000381,64.809997559,19.659999847,7.6199998856,4.9099998474,69.699996948,\N
1992,3,1991,12,140.30000305,24.569999695,11.279999733,53.38999939,0,18.239999771,5.9400000572,135.52000427,53.439998627,\N
